question,option_a,option_b,option_c,option_d,correct_answer,incorrect_answer,study_area
What pairs with pizza on a Tuesday?,Sangiovese,Vintage Port,Sauternes,Albariño,A,Close! Swirl the glass and give it another go.,Pairings
"For beach days, Giuseppe brings…",Hot mulled wine,Vintage Madeira,Albariño,Pinot Noir,C,Not quite—Giuseppe says take another sip and try again.,Pairings
Which toast wins Giuseppe’s heart?,Prozit!,Skål!,Salute!,Pinot Noir,C,Close! Swirl the glass and give it another go.,Pairings
Which region is famous for Malbec?,Rioja,Burgundy,Mendoza,Sherry,C,Close! Swirl the glass and give it another go.,Grapes
Love at first sniff smells like…,Wet dog,Wild strawberries,Tire rubber,Muscadet,B,Close! Swirl the glass and give it another go.,Styles
What flavor can oak impart?,Vanilla,Lime leaf,Black pepper only,Muscadet,A,Not quite—Giuseppe says take another sip and try again.,Styles
Which wine is usually off-dry and low alcohol in Germany?,Spätburgunder,Silvaner Trocken,Kabinett Riesling,Sauternes,C,Not quite—Giuseppe says take another sip and try again.,Styles
What does 'riserva' (Italy) generally signal?,Lower alcohol,Higher sweetness,Longer aging,Barolo,C,Close! Swirl the glass and give it another go.,Styles
What does 'Brut' indicate on sparkling wine?,Dry style,Sweet style,Rosé style,Barolo,A,Not quite—Giuseppe says take another sip and try again.,Classifications
Best wine for a long talk at sunset?,Super Tuscan monster,Pinot Noir,Tequila… not wine!,Grüner Veltliner,B,Close! Swirl the glass and give it another go.,Styles
Champagne sweetness: which is driest?,Brut Nature,Sec,Demi-sec,Sauternes,A,Close! Swirl the glass and give it another go.,Regions and Appellations
His advice for opening night nerves?,Decant for 6 hours,Pop a Prosecco,Hide the bottle,Albariño,B,Not quite—Giuseppe says take another sip and try again.,Styles
"If a wine is 'corked', it smells like…",Clean citrus,"Musty, wet cardboard",Fresh flowers,Barolo,B,Not quite—Giuseppe says take another sip and try again.,Styles
What does 'Brut' indicate on sparkling wine?,Sweet style,Rosé style,Dry style,Grüner Veltliner,C,Not quite—Giuseppe says take another sip and try again.,Classifications
What’s the best pairing for laughter?,Only bottled water,Silence and spreadsheets,Good friends and good wine,Sauternes,C,Not quite—Giuseppe says take another sip and try again.,Pairings
What is typical of Rosé production?,No skins used at all,Limited skin contact,Full skin maceration,Barolo,B,Not quite—Giuseppe says take another sip and try again.,Styles
Aglianico is most associated with…,Sicily/Sardinia,Piedmont/Lombardy,Campania/Basilicata,Albariño,C,Close! Swirl the glass and give it another go.,Grapes
Which region produces Chablis?,Rhone,Loire Valley,Burgundy,Barolo,C,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
Giuseppe’s travel essential?,Fondue set,Spare tie,Corkscrew,Rosé,C,Close! Swirl the glass and give it another go.,Styles
Sherry can be biologically aged under…,Flor,Botrytis,Lees,Sauternes,A,Close! Swirl the glass and give it another go.,Styles
What pairs with pizza on a Tuesday?,Vintage Port,Sangiovese,Sauternes,Muscadet,B,Close! Swirl the glass and give it another go.,Pairings
What’s the secret ingredient in hospitality?,A generous pour,A strict rulebook,A loud cork pop,Sauternes,A,Not quite—Giuseppe says take another sip and try again.,Pairings
What is the base wine style of Port?,Unoaked white,Fortified sweet red,Dry sparkling,Barolo,B,Not quite—Giuseppe says take another sip and try again.,Styles
Prosecco uses which production method?,Tank (Charmat),Traditional method,Solera system,Pinot Noir,A,Close! Swirl the glass and give it another go.,Classifications
Giuseppe’s guilty pleasure snack with bubbles?,Gazpacho,Potato chips,Steak tartare,Chianti Classico,B,Not quite—Giuseppe says take another sip and try again.,Pairings
Giuseppe’s rule on ice in wine?,Do what you love,Only in Champagne,Never ever!,Albariño,A,Not quite—Giuseppe says take another sip and try again.,Styles
Which country created Carmenère revival?,Chile,Uruguay,Argentina,Sauternes,A,Close! Swirl the glass and give it another go.,Grapes
Provence Rosé is usually…,Pale and dry,Deep and sweet,Fortified,Muscadet,A,Close! Swirl the glass and give it another go.,Regions and Appellations
What aroma is classic in aged Riesling?,Peppercorn,Banana,Petrol/honey,Albariño,C,Close! Swirl the glass and give it another go.,Grapes
"If a wine is 'corked', it smells like…",Clean citrus,Fresh flowers,"Musty, wet cardboard",Sauternes,C,Not quite—Giuseppe says take another sip and try again.,Styles
What’s the best pairing for laughter?,Silence and spreadsheets,Only bottled water,Good friends and good wine,Pinot Noir,C,Close! Swirl the glass and give it another go.,Pairings
"When the pizza comes, he says…",Fetch the Sauternes!,Bring the Chianti!,Open that Port!,Rosé,B,Close! Swirl the glass and give it another go.,Pairings
What aroma is classic in aged Riesling?,Petrol/honey,Banana,Peppercorn,Port,A,Close! Swirl the glass and give it another go.,Grapes
Which wine is usually off-dry and low alcohol in Germany?,Kabinett Riesling,Silvaner Trocken,Spätburgunder,Grüner Veltliner,A,Close! Swirl the glass and give it another go.,Styles
Amarone is produced by…,Appassimento (dried grapes),Free-run juice only,Carbonic maceration,Barolo,A,Close! Swirl the glass and give it another go.,Regions and Appellations
Love at first sniff smells like…,Tire rubber,Wild strawberries,Wet dog,Muscadet,B,Not quite—Giuseppe says take another sip and try again.,Styles
What does 'DOCG' stand for?,Denominazione di Origine Classico Garantito,Denominazione di Origine Controllata e Garantita,Denominazione di Qualità Garantita,Cava,B,Not quite—Giuseppe says take another sip and try again.,Classifications
What does decanting an old red help with?,Raising alcohol,Adding sugar,Sediment separation,Grüner Veltliner,C,Close! Swirl the glass and give it another go.,Styles
What aroma is classic in aged Riesling?,Petrol/honey,Banana,Peppercorn,Pinot Noir,A,Close! Swirl the glass and give it another go.,Grapes
Vouvray is made from…,Viognier,Sauvignon Blanc,Chenin Blanc,Sherry,C,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
Sauternes is primarily made from…,Sémillon,Sauvignon Gris,Gewürztraminer,Prosecco,A,Close! Swirl the glass and give it another go.,Regions and Appellations
The wine for dancing in the kitchen?,Amontillado,Barolo,Lambrusco,Muscadet,C,Not quite—Giuseppe says take another sip and try again.,Pairings
"When the pizza comes, he says…",Bring the Chianti!,Fetch the Sauternes!,Open that Port!,Grüner Veltliner,A,Close! Swirl the glass and give it another go.,Pairings
What is 'carbonic maceration' known for?,Fortified wines,High tannin whites,"Juicy, low-tannin reds",Muscadet,C,Close! Swirl the glass and give it another go.,Styles
Which wine is typically un-oaked?,Napa Chardonnay,Reserva Rioja,Muscadet,Chianti Classico,C,Close! Swirl the glass and give it another go.,Styles
Giuseppe’s guilty pleasure snack with bubbles?,Steak tartare,Potato chips,Gazpacho,Prosecco,B,Close! Swirl the glass and give it another go.,Pairings
What glass suits full-bodied reds?,Large bowl,Coupe,Flute,Albariño,A,Not quite—Giuseppe says take another sip and try again.,Styles
What’s the best pairing for laughter?,Only bottled water,Good friends and good wine,Silence and spreadsheets,Chianti Classico,B,Not quite—Giuseppe says take another sip and try again.,Pairings
Giuseppe’s guilty pleasure snack with bubbles?,Potato chips,Steak tartare,Gazpacho,Barolo,A,Close! Swirl the glass and give it another go.,Pairings
"For beach days, Giuseppe brings…",Vintage Madeira,Albariño,Hot mulled wine,Barolo,B,Not quite—Giuseppe says take another sip and try again.,Pairings
Beaujolais is mostly made from which grape?,Gamay,Pinot Noir,Syrah,Grüner Veltliner,A,Close! Swirl the glass and give it another go.,Grapes
Which climate tends to give higher acidity?,Arid desert,Cool climate,Hot climate,Cava,B,Not quite—Giuseppe says take another sip and try again.,Styles
Sherry can be biologically aged under…,Flor,Lees,Botrytis,Rosé,A,Close! Swirl the glass and give it another go.,Styles
Giuseppe’s cure for a dreary day?,A flat cola,A burnt espresso,A bright rosé,Grüner Veltliner,C,Not quite—Giuseppe says take another sip and try again.,Styles
Provence Rosé is usually…,Deep and sweet,Fortified,Pale and dry,Sherry,C,Close! Swirl the glass and give it another go.,Regions and Appellations
Grüner Veltliner often shows…,Coffee,Coconut,White pepper,Port,C,Not quite—Giuseppe says take another sip and try again.,Grapes
What is 'botrytis' known for in wine?,Noble rot for sweet wines,Sparkling bubbles,Bacterial spoilage,Sherry,A,Not quite—Giuseppe says take another sip and try again.,Styles
Giuseppe’s cure for a dreary day?,A bright rosé,A flat cola,A burnt espresso,Grüner Veltliner,A,Not quite—Giuseppe says take another sip and try again.,Styles
Which climate tends to give higher acidity?,Hot climate,Arid desert,Cool climate,Chianti Classico,C,Not quite—Giuseppe says take another sip and try again.,Styles
What does Giuseppe say the swirl is for?,Hypnotizing your date,Letting aromas dance,Counting the legs,Sherry,B,Close! Swirl the glass and give it another go.,Styles
Which country created Carmenère revival?,Argentina,Chile,Uruguay,Albariño,B,Close! Swirl the glass and give it another go.,Grapes
The wine for dancing in the kitchen?,Lambrusco,Amontillado,Barolo,Rosé,A,Not quite—Giuseppe says take another sip and try again.,Pairings
Which toast wins Giuseppe’s heart?,Prozit!,Salute!,Skål!,Albariño,B,Not quite—Giuseppe says take another sip and try again.,Pairings
What does 'riserva' (Italy) generally signal?,Longer aging,Higher sweetness,Lower alcohol,Barolo,A,Not quite—Giuseppe says take another sip and try again.,Styles
Giuseppe’s rule on ice in wine?,Never ever!,Only in Champagne,Do what you love,Rosé,C,Not quite—Giuseppe says take another sip and try again.,Styles
Giuseppe’s midnight fridge raid finds…,Leftover Vermentino,Mulled wine,Warm Merlot,Sherry,A,Not quite—Giuseppe says take another sip and try again.,Pairings
What grape dominates Left Bank Bordeaux?,Syrah,Merlot,Cabernet Sauvignon,Barolo,C,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
Rioja is primarily associated with which grape?,Tempranillo,Mazuelo,Garnacha,Cava,A,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
What does Giuseppe call tannins?,Its passport,The handshake of a wine,Its resume,Grüner Veltliner,B,Not quite—Giuseppe says take another sip and try again.,Styles
Giuseppe’s guilty pleasure snack with bubbles?,Steak tartare,Potato chips,Gazpacho,Barolo,B,Not quite—Giuseppe says take another sip and try again.,Pairings
Beaujolais is mostly made from which grape?,Syrah,Pinot Noir,Gamay,Barolo,C,Close! Swirl the glass and give it another go.,Grapes
Champagne sweetness: which is driest?,Brut Nature,Demi-sec,Sec,Grüner Veltliner,A,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
Beaujolais is mostly made from which grape?,Gamay,Pinot Noir,Syrah,Chianti Classico,A,Not quite—Giuseppe says take another sip and try again.,Grapes
"If Giuseppe brings wine to a picnic, what’s likely?",A cheerful Chianti,A brooding Amarone,A 40-year Port,Rosé,A,Close! Swirl the glass and give it another go.,Pairings
What does 'riserva' (Italy) generally signal?,Lower alcohol,Longer aging,Higher sweetness,Pinot Noir,B,Not quite—Giuseppe says take another sip and try again.,Styles
Giuseppe’s travel essential?,Spare tie,Fondue set,Corkscrew,Sauternes,C,Not quite—Giuseppe says take another sip and try again.,Styles
"When the pizza comes, he says…",Bring the Chianti!,Fetch the Sauternes!,Open that Port!,Sherry,A,Not quite—Giuseppe says take another sip and try again.,Pairings
Grüner Veltliner often shows…,Coconut,White pepper,Coffee,Albariño,B,Not quite—Giuseppe says take another sip and try again.,Grapes
Best wine for a long talk at sunset?,Super Tuscan monster,Tequila… not wine!,Pinot Noir,Chianti Classico,C,Not quite—Giuseppe says take another sip and try again.,Styles
Which region produces Chablis?,Burgundy,Loire Valley,Rhone,Sherry,A,Close! Swirl the glass and give it another go.,Regions and Appellations
Giuseppe’s cure for a dreary day?,A flat cola,A bright rosé,A burnt espresso,Barolo,B,Close! Swirl the glass and give it another go.,Styles
Grüner Veltliner often shows…,Coffee,White pepper,Coconut,Prosecco,B,Not quite—Giuseppe says take another sip and try again.,Grapes
Which region produces Chablis?,Loire Valley,Rhone,Burgundy,Albariño,C,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
What’s the secret ingredient in hospitality?,A loud cork pop,A generous pour,A strict rulebook,Cava,B,Not quite—Giuseppe says take another sip and try again.,Pairings
Alsace Grand Cru is typically…,Red blends,Fortified dessert reds,Single-varietal whites,Albariño,C,Close! Swirl the glass and give it another go.,Classifications
What does 'Brut' indicate on sparkling wine?,Sweet style,Rosé style,Dry style,Pinot Noir,C,Not quite—Giuseppe says take another sip and try again.,Classifications
What is the base wine style of Port?,Dry sparkling,Fortified sweet red,Unoaked white,Barolo,B,Not quite—Giuseppe says take another sip and try again.,Styles
His advice for opening night nerves?,Hide the bottle,Decant for 6 hours,Pop a Prosecco,Sauternes,C,Not quite—Giuseppe says take another sip and try again.,Styles
Champagne sweetness: which is driest?,Sec,Brut Nature,Demi-sec,Chianti Classico,B,Close! Swirl the glass and give it another go.,Regions and Appellations
What aroma is classic in aged Riesling?,Petrol/honey,Banana,Peppercorn,Barolo,A,Close! Swirl the glass and give it another go.,Grapes
Giuseppe’s favorite sound in a quiet room?,A microwave beep,An ice cube clink,A cork sighing,Prosecco,C,Close! Swirl the glass and give it another go.,Styles
What is 'carbonic maceration' known for?,"Juicy, low-tannin reds",High tannin whites,Fortified wines,Cava,A,Not quite—Giuseppe says take another sip and try again.,Styles
Love at first sniff smells like…,Tire rubber,Wet dog,Wild strawberries,Chianti Classico,C,Close! Swirl the glass and give it another go.,Styles
What’s the secret ingredient in hospitality?,A generous pour,A loud cork pop,A strict rulebook,Port,A,Not quite—Giuseppe says take another sip and try again.,Pairings
What does 'DOCG' stand for?,Denominazione di Origine Controllata e Garantita,Denominazione di Origine Classico Garantito,Denominazione di Qualità Garantita,Cava,A,Close! Swirl the glass and give it another go.,Classifications
What is 'carbonic maceration' known for?,"Juicy, low-tannin reds",High tannin whites,Fortified wines,Grüner Veltliner,A,Not quite—Giuseppe says take another sip and try again.,Styles
Which toast wins Giuseppe’s heart?,Salute!,Prozit!,Skål!,Chianti Classico,A,Close! Swirl the glass and give it another go.,Pairings
"If pasta is al dente, wine should be…",Flat and sleepy,Al dente in spirit: lively,Boiling hot,Grüner Veltliner,B,Not quite—Giuseppe says take another sip and try again.,Pairings
Chianti is dominated by which grape?,Nebbiolo,Sangiovese,Aglianico,Grüner Veltliner,B,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
What is 'carbonic maceration' known for?,High tannin whites,"Juicy, low-tannin reds",Fortified wines,Sherry,B,Not quite—Giuseppe says take another sip and try again.,Styles
What is the main grape in Brunello di Montalcino?,Barbera,Nebbiolo,Sangiovese,Chianti Classico,C,Not quite—Giuseppe says take another sip and try again.,Grapes
Which wine has highest typical tannin?,Muscadet,Barolo,Beaujolais Nouveau,Prosecco,B,Close! Swirl the glass and give it another go.,Styles
Vouvray is made from…,Sauvignon Blanc,Chenin Blanc,Viognier,Barolo,B,Close! Swirl the glass and give it another go.,Regions and Appellations
What is typical of Rosé production?,Limited skin contact,Full skin maceration,No skins used at all,Grüner Veltliner,A,Close! Swirl the glass and give it another go.,Styles
Chianti is dominated by which grape?,Aglianico,Sangiovese,Nebbiolo,Muscadet,B,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
What is 'carbonic maceration' known for?,Fortified wines,"Juicy, low-tannin reds",High tannin whites,Barolo,B,Close! Swirl the glass and give it another go.,Styles
Which country created Carmenère revival?,Chile,Uruguay,Argentina,Albariño,A,Not quite—Giuseppe says take another sip and try again.,Grapes
What flavor can oak impart?,Lime leaf,Vanilla,Black pepper only,Chianti Classico,B,Close! Swirl the glass and give it another go.,Styles
Which Italian region is Barbaresco from?,Piedmont,Veneto,Tuscany,Port,A,Close! Swirl the glass and give it another go.,Regions and Appellations
"For beach days, Giuseppe brings…",Hot mulled wine,Vintage Madeira,Albariño,Barolo,C,Close! Swirl the glass and give it another go.,Pairings
His advice for opening night nerves?,Decant for 6 hours,Hide the bottle,Pop a Prosecco,Sauternes,C,Close! Swirl the glass and give it another go.,Styles
Classic Loire Chenin Blanc can be…,Always fortified,Dry to sweet with high acidity,Always sparkling,Barolo,B,Close! Swirl the glass and give it another go.,Regions and Appellations
"If a wine is 'corked', it smells like…","Musty, wet cardboard",Clean citrus,Fresh flowers,Pinot Noir,A,Close! Swirl the glass and give it another go.,Styles
What grape dominates Left Bank Bordeaux?,Syrah,Cabernet Sauvignon,Merlot,Grüner Veltliner,B,Close! Swirl the glass and give it another go.,Regions and Appellations
Aglianico is most associated with…,Piedmont/Lombardy,Campania/Basilicata,Sicily/Sardinia,Cava,B,Close! Swirl the glass and give it another go.,Grapes
Tannins in wine come mostly from…,Filtration,Fermentation temperature,"Skins, seeds, and oak",Grüner Veltliner,C,Not quite—Giuseppe says take another sip and try again.,Styles
His advice for opening night nerves?,Decant for 6 hours,Hide the bottle,Pop a Prosecco,Pinot Noir,C,Not quite—Giuseppe says take another sip and try again.,Styles
What’s the best pairing for laughter?,Good friends and good wine,Only bottled water,Silence and spreadsheets,Pinot Noir,A,Close! Swirl the glass and give it another go.,Pairings
Giuseppe’s midnight fridge raid finds…,Warm Merlot,Leftover Vermentino,Mulled wine,Muscadet,B,Close! Swirl the glass and give it another go.,Pairings
Which region is famous for Malbec?,Rioja,Mendoza,Burgundy,Port,B,Not quite—Giuseppe says take another sip and try again.,Grapes
What aroma is classic in aged Riesling?,Petrol/honey,Banana,Peppercorn,Prosecco,A,Not quite—Giuseppe says take another sip and try again.,Grapes
Best wine for a long talk at sunset?,Super Tuscan monster,Pinot Noir,Tequila… not wine!,Barolo,B,Close! Swirl the glass and give it another go.,Styles
What is the main grape in Brunello di Montalcino?,Barbera,Sangiovese,Nebbiolo,Albariño,B,Not quite—Giuseppe says take another sip and try again.,Grapes
What grape dominates Left Bank Bordeaux?,Syrah,Cabernet Sauvignon,Merlot,Prosecco,B,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
Giuseppe’s favorite sound in a quiet room?,An ice cube clink,A microwave beep,A cork sighing,Sauternes,C,Not quite—Giuseppe says take another sip and try again.,Styles
"If pasta is al dente, wine should be…",Flat and sleepy,Boiling hot,Al dente in spirit: lively,Chianti Classico,C,Not quite—Giuseppe says take another sip and try again.,Pairings
Furmint is a key variety in…,Vinho Verde,Tokaj,Rioja,Grüner Veltliner,B,Not quite—Giuseppe says take another sip and try again.,Grapes
Giuseppe’s cure for a dreary day?,A bright rosé,A burnt espresso,A flat cola,Sauternes,A,Not quite—Giuseppe says take another sip and try again.,Styles
What does 'DOCG' stand for?,Denominazione di Origine Classico Garantito,Denominazione di Origine Controllata e Garantita,Denominazione di Qualità Garantita,Sherry,B,Not quite—Giuseppe says take another sip and try again.,Classifications
Which region is famous for Sauvignon Blanc in NZ?,Central Otago,Marlborough,Hawke's Bay,Port,B,Not quite—Giuseppe says take another sip and try again.,Grapes
"When the pizza comes, he says…",Bring the Chianti!,Fetch the Sauternes!,Open that Port!,Muscadet,A,Not quite—Giuseppe says take another sip and try again.,Pairings
"For beach days, Giuseppe brings…",Hot mulled wine,Albariño,Vintage Madeira,Chianti Classico,B,Close! Swirl the glass and give it another go.,Pairings
Champagne sweetness: which is driest?,Demi-sec,Brut Nature,Sec,Barolo,B,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
Chianti is dominated by which grape?,Aglianico,Nebbiolo,Sangiovese,Muscadet,C,Close! Swirl the glass and give it another go.,Regions and Appellations
Sherry can be biologically aged under…,Flor,Lees,Botrytis,Prosecco,A,Close! Swirl the glass and give it another go.,Styles
What pairs with pizza on a Tuesday?,Sangiovese,Sauternes,Vintage Port,Pinot Noir,A,Not quite—Giuseppe says take another sip and try again.,Pairings
His advice for opening night nerves?,Pop a Prosecco,Hide the bottle,Decant for 6 hours,Sauternes,A,Close! Swirl the glass and give it another go.,Styles
The wine for dancing in the kitchen?,Barolo,Lambrusco,Amontillado,Rosé,B,Close! Swirl the glass and give it another go.,Pairings
Giuseppe’s guilty pleasure snack with bubbles?,Potato chips,Gazpacho,Steak tartare,Sauternes,A,Not quite—Giuseppe says take another sip and try again.,Pairings
Giuseppe’s cure for a dreary day?,A flat cola,A burnt espresso,A bright rosé,Cava,C,Not quite—Giuseppe says take another sip and try again.,Styles
What’s the secret ingredient in hospitality?,A generous pour,A loud cork pop,A strict rulebook,Pinot Noir,A,Close! Swirl the glass and give it another go.,Pairings
Sancerre is typically made from which grape?,Sauvignon Blanc,Chardonnay,Chenin Blanc,Albariño,A,Not quite—Giuseppe says take another sip and try again.,Grapes
Giuseppe’s rule on ice in wine?,Never ever!,Only in Champagne,Do what you love,Rosé,C,Close! Swirl the glass and give it another go.,Styles
Orange wine is made by…,Blending red/white,Using orange fruit,Skin-contact white grapes,Sherry,C,Not quite—Giuseppe says take another sip and try again.,Styles
Which Italian region is Barbaresco from?,Piedmont,Tuscany,Veneto,Grüner Veltliner,A,Close! Swirl the glass and give it another go.,Regions and Appellations
Sauternes is primarily made from…,Sauvignon Gris,Sémillon,Gewürztraminer,Cava,B,Close! Swirl the glass and give it another go.,Regions and Appellations
What does Giuseppe call tannins?,Its passport,Its resume,The handshake of a wine,Albariño,C,Not quite—Giuseppe says take another sip and try again.,Styles
Orange wine is made by…,Skin-contact white grapes,Using orange fruit,Blending red/white,Sherry,A,Not quite—Giuseppe says take another sip and try again.,Styles
What food is a friendly match with Pinot Noir?,Caramel flan,Spicy curry,Salmon,Rosé,C,Close! Swirl the glass and give it another go.,Grapes
What aroma is classic in aged Riesling?,Peppercorn,Petrol/honey,Banana,Sherry,B,Close! Swirl the glass and give it another go.,Grapes
Which region is famous for Sauvignon Blanc in NZ?,Hawke's Bay,Marlborough,Central Otago,Port,B,Close! Swirl the glass and give it another go.,Grapes
What pairs with pizza on a Tuesday?,Vintage Port,Sauternes,Sangiovese,Chianti Classico,C,Close! Swirl the glass and give it another go.,Pairings
What does Giuseppe call tannins?,Its passport,The handshake of a wine,Its resume,Chianti Classico,B,Close! Swirl the glass and give it another go.,Styles
Love at first sniff smells like…,Wet dog,Wild strawberries,Tire rubber,Sauternes,B,Not quite—Giuseppe says take another sip and try again.,Styles
Champagne sweetness: which is driest?,Demi-sec,Sec,Brut Nature,Albariño,C,Close! Swirl the glass and give it another go.,Regions and Appellations
"If Giuseppe brings wine to a picnic, what’s likely?",A 40-year Port,A cheerful Chianti,A brooding Amarone,Sauternes,B,Not quite—Giuseppe says take another sip and try again.,Pairings
The wine for dancing in the kitchen?,Lambrusco,Barolo,Amontillado,Pinot Noir,A,Close! Swirl the glass and give it another go.,Pairings
Sherry can be biologically aged under…,Lees,Botrytis,Flor,Chianti Classico,C,Not quite—Giuseppe says take another sip and try again.,Styles
Orange wine is made by…,Using orange fruit,Blending red/white,Skin-contact white grapes,Grüner Veltliner,C,Close! Swirl the glass and give it another go.,Styles
Giuseppe’s rule on ice in wine?,Never ever!,Only in Champagne,Do what you love,Chianti Classico,C,Not quite—Giuseppe says take another sip and try again.,Styles
What does Giuseppe call tannins?,The handshake of a wine,Its passport,Its resume,Rosé,A,Not quite—Giuseppe says take another sip and try again.,Styles
Which wine has highest typical tannin?,Barolo,Muscadet,Beaujolais Nouveau,Port,A,Close! Swirl the glass and give it another go.,Styles
"If pasta is al dente, wine should be…",Flat and sleepy,Boiling hot,Al dente in spirit: lively,Sauternes,C,Not quite—Giuseppe says take another sip and try again.,Pairings
Love at first sniff smells like…,Wild strawberries,Tire rubber,Wet dog,Chianti Classico,A,Close! Swirl the glass and give it another go.,Styles
What does 'riserva' (Italy) generally signal?,Higher sweetness,Lower alcohol,Longer aging,Barolo,C,Close! Swirl the glass and give it another go.,Styles
Rioja is primarily associated with which grape?,Garnacha,Tempranillo,Mazuelo,Barolo,B,Close! Swirl the glass and give it another go.,Regions and Appellations
Giuseppe’s cure for a dreary day?,A bright rosé,A flat cola,A burnt espresso,Sauternes,A,Close! Swirl the glass and give it another go.,Styles
Sauternes is primarily made from…,Sémillon,Gewürztraminer,Sauvignon Gris,Port,A,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
What does decanting an old red help with?,Raising alcohol,Sediment separation,Adding sugar,Albariño,B,Close! Swirl the glass and give it another go.,Styles
"If Giuseppe brings wine to a picnic, what’s likely?",A cheerful Chianti,A brooding Amarone,A 40-year Port,Sherry,A,Not quite—Giuseppe says take another sip and try again.,Pairings
What flavor can oak impart?,Black pepper only,Vanilla,Lime leaf,Rosé,B,Close! Swirl the glass and give it another go.,Styles
What aroma is classic in aged Riesling?,Peppercorn,Petrol/honey,Banana,Albariño,B,Not quite—Giuseppe says take another sip and try again.,Grapes
What’s the secret ingredient in hospitality?,A strict rulebook,A loud cork pop,A generous pour,Sherry,C,Not quite—Giuseppe says take another sip and try again.,Pairings
"If pasta is al dente, wine should be…",Al dente in spirit: lively,Flat and sleepy,Boiling hot,Cava,A,Not quite—Giuseppe says take another sip and try again.,Pairings
"If a wine is 'corked', it smells like…","Musty, wet cardboard",Fresh flowers,Clean citrus,Pinot Noir,A,Not quite—Giuseppe says take another sip and try again.,Styles
Giuseppe’s cure for a dreary day?,A burnt espresso,A bright rosé,A flat cola,Port,B,Close! Swirl the glass and give it another go.,Styles
Giuseppe’s rule on ice in wine?,Never ever!,Only in Champagne,Do what you love,Rosé,C,Not quite—Giuseppe says take another sip and try again.,Styles
Champagne sweetness: which is driest?,Demi-sec,Sec,Brut Nature,Port,C,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
Giuseppe’s rule on ice in wine?,Only in Champagne,Do what you love,Never ever!,Barolo,B,Not quite—Giuseppe says take another sip and try again.,Styles
Which grape is classic in Châteauneuf-du-Pape?,Pinotage,Touriga Nacional,Grenache,Albariño,C,Not quite—Giuseppe says take another sip and try again.,Grapes
Giuseppe’s travel essential?,Fondue set,Spare tie,Corkscrew,Rosé,C,Not quite—Giuseppe says take another sip and try again.,Styles
What’s the best pairing for laughter?,Good friends and good wine,Only bottled water,Silence and spreadsheets,Chianti Classico,A,Not quite—Giuseppe says take another sip and try again.,Pairings
Giuseppe’s favorite sound in a quiet room?,An ice cube clink,A cork sighing,A microwave beep,Muscadet,B,Not quite—Giuseppe says take another sip and try again.,Styles
Which toast wins Giuseppe’s heart?,Prozit!,Skål!,Salute!,Prosecco,C,Not quite—Giuseppe says take another sip and try again.,Pairings
Vouvray is made from…,Viognier,Chenin Blanc,Sauvignon Blanc,Albariño,B,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
Which Italian region is Barbaresco from?,Piedmont,Veneto,Tuscany,Prosecco,A,Close! Swirl the glass and give it another go.,Regions and Appellations
Giuseppe’s travel essential?,Corkscrew,Spare tie,Fondue set,Pinot Noir,A,Not quite—Giuseppe says take another sip and try again.,Styles
Which climate tends to give higher acidity?,Arid desert,Cool climate,Hot climate,Sherry,B,Close! Swirl the glass and give it another go.,Styles
What grape dominates Left Bank Bordeaux?,Merlot,Syrah,Cabernet Sauvignon,Chianti Classico,C,Close! Swirl the glass and give it another go.,Regions and Appellations
"If Giuseppe brings wine to a picnic, what’s likely?",A 40-year Port,A brooding Amarone,A cheerful Chianti,Grüner Veltliner,C,Not quite—Giuseppe says take another sip and try again.,Pairings
Which toast wins Giuseppe’s heart?,Skål!,Salute!,Prozit!,Albariño,B,Not quite—Giuseppe says take another sip and try again.,Pairings
Prosecco uses which production method?,Solera system,Traditional method,Tank (Charmat),Sherry,C,Close! Swirl the glass and give it another go.,Classifications
Giuseppe’s guilty pleasure snack with bubbles?,Gazpacho,Potato chips,Steak tartare,Muscadet,B,Close! Swirl the glass and give it another go.,Pairings
Aglianico is most associated with…,Piedmont/Lombardy,Campania/Basilicata,Sicily/Sardinia,Sauternes,B,Not quite—Giuseppe says take another sip and try again.,Grapes
Chianti is dominated by which grape?,Aglianico,Nebbiolo,Sangiovese,Prosecco,C,Close! Swirl the glass and give it another go.,Regions and Appellations
What’s the best pairing for laughter?,Only bottled water,Silence and spreadsheets,Good friends and good wine,Sherry,C,Close! Swirl the glass and give it another go.,Pairings
Which region produces Chablis?,Burgundy,Loire Valley,Rhone,Port,A,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
